[2016-03-19 16:56:28-0.23601500 1458402988,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 16:56:28-0.24001500 1458402988,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 16:56:28-0.48702900 1458402988,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 16:56:28-0.49503000 1458402988,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 16:56:28-0.70704200 1458402988,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 16:56:28-0.71204200 1458402988,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 16:59:00-0.70173500 1458403140,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 16:59:00-0.70773600 1458403140,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 16:59:07-0.10510200 1458403147,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 16:59:07-0.11210200 1458403147,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 16:59:18-0.63576100 1458403158,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 16:59:18-0.64276100 1458403158,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 17:01:38-0.35675300 1458403298,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:01:38-0.36175300 1458403298,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 17:02:04-0.83726700 1458403324,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:02:04-0.84226800 1458403324,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]fce txt - automaticka obnova session texty!
[2016-03-19 17:02:11-0.27663600 1458403331,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]SQL: SELECT * FROM texty WHERE lg='cs', rows:489 duration 2011 ms
[2016-03-19 17:02:11-0.47364700 1458403331,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:03:27-0.88901800 1458403407,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:03:41-0.36078800 1458403421,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:03:45-0.37101700 1458403425,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:04:26-0.98439800 1458403466,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:04:27-0.05440200 1458403467,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:04:34-0.50482800 1458403474,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:04:34-0.51282800 1458403474,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:05:07-0.77773100 1458403507,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:05:07-0.79473200 1458403507,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:05:42-0.83173600 1458403542,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:05:42-0.83973600 1458403542,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:06:00-0.10972400 1458403560,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
[2016-03-19 17:06:00-0.11572400 1458403560,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]end page
[2016-03-19 17:07:15-0.14901600 1458403635,debug,127.0.0.1 /x51/dev-pesy/aa/index.php; Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0]start page
